Designator,Mid X,Mid Y,Layer,Rotation
C1,20.828,43.053,T,180
C2,46.355,18.443,T,90
C3,45.339,20.447,T,0
C4,31.369,2.286,T,-90
C5,11.557,14.986,T,180
C6,33.401,2.286,T,-90
C7,33.401,8.001,T,90
C8,14.958,31.4675,T,90
C9,39.116,31.75,T,90
C10,31.369,8.001,T,90
C11,10.668,19.939,T,180
C12,4.29,21.6885,T,-90
C13,36.449,8.763,T,90
C14,10.668,20.955,T,180
C15,34.925,3.048,T,-90
C16,13.688,30.8325,T,90
C17,5.56,21.8155,T,-90
C18,16.383,7.493,T,90
C19,17.907,7.493,T,90
C20,15.113,7.112,T,90
C21,14.732,9.906,T,0
C22,14.224,8.636,T,0
C23,6.985,19.685,T,180
C24,9.144,17.272,T,-90
C25,27.813,41.91,T,0
C26,27.305,43.18,T,0
C27,26.919,39.243,T,0
C28,26.543,37.973,T,0
C29,31.115,12.954,T,-90
C30,29.591,12.954,T,-90
C31,28.321,13.081,T,-90
C32,30.099,16.764,T,-90
C33,28.575,16.764,T,-90
CN1,25.000009,6.349996,T,0
CN2,15.875,46.386,T,180
CN3,26.909,47.032,T,0
FB1,12.446,17.653,T,90
FB2,10.668,17.653,T,-90
LED1,6.604,42.037,T,0
LED2,46.99,11.811,T,0
LED3,33.527992,41.783004,T,0
LED4,33.527992,40.005004,T,0
LED5,33.527992,38.227004,T,0
LED6,33.527992,36.449004,T,0
LED7,33.527992,34.671004,T,0
LED8,36.83,41.783,T,0
LED9,36.829992,40.005004,T,0
LED10,36.829992,38.227004,T,0
LED11,36.829992,36.449004,T,0
LED12,36.829992,34.671004,T,0
LED13,40.132,41.783,T,0
LED14,40.132,40.005004,T,0
LED15,40.132,38.227004,T,0
LED16,40.132,36.449004,T,0
LED17,40.132,34.671004,T,0
LED18,43.434,41.783,T,0
LED19,43.434,40.005004,T,0
LED20,43.434,38.227004,T,0
LED21,43.434,36.449004,T,0
LED22,43.434,34.671004,T,0
LED23,46.735992,41.783004,T,0
LED24,46.735992,40.005004,T,0
LED25,46.735992,38.227004,T,0
LED26,46.735992,36.449004,T,0
LED27,46.735992,34.671004,T,0
Q1,2.794,41.021,T,90
Q2,42.926,11.049,T,0
R1,47.371,18.443,T,-90
R2,18.288,42.545,T,-90
R3,17.145,42.545,T,-90
R4,16.383,1.524,T,-90
R5,47.371,20.447,T,180
R6,17.526,1.524,T,-90
R7,17.907,5.334,T,180
R8,17.907,4.318,T,180
R9,17.526,28.956,T,90
R10,17.526,26.924,T,-90
R11,40.132,31.75,T,90
R12,15.875,27.432,T,180
R13,15.875,28.448,T,180
R14,3.683,25.146,T,-90
R15,36.957,3.937,T,-90
R16,40.64,3.937,T,90
R17,9.144,20.447,T,-90
R18,8.255,2.032,T,0
R19,8.255,1.016,T,0
R20,11.176,9.144,T,0
R21,1.905,36.957,T,90
R22,2.413,38.481,T,180
R23,8.89,42.037,T,90
R24,28.575,37.973,T,180
R25,21.971,37.084,T,-90
R26,47.244,9.906,T,0
REF**,6.44,33.718496,T,0
SW1,39.8445,16.256,T,180
SW2,44.831,26.924,T,90
SW3,35.306,26.924,T,90
U1,38.735,8.509,T,90
U2,9.37,26.6415,T,90
U3,11.303,5.334,T,180
U4,25.781,32.258,T,0
U5,23.241,16.129,T,180
Y1,6.477,17.399,T,0
