Comment,Designator,Footprint,JLCPCB Part #（optional）
0.1uF,"C1, C2, C3, C9, C13, C15, C16, C17, C20, C22, C26, C28, C31, ",,C307331
10uF,"C4, C6, C7, C10, ",,C15850
2.2uF,"C5, C8, C12, C18, C19, C21, C25, C27, C29, C30, C32, C33, ",,C23630
1uF,"C11, ",,C52923
0.01uF,"C14, ",,C15195
20pF,"C23, C24, ",,C1554
GZ2012D601TF,"FB1, FB2, ",,C1017
19-213SUBC/S400-A5/S208-2/TR8,"LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, ",,C72041
2N7002,"Q1, Q2, ",,C8545
4.7k,"R1, R5, R9, R10, R11, R22, R25, ",,C25900
100,"R2, R3, R21, ",,C25076
5.1k,"R4, R6, ",,C23186
0,"R7, R8, R18, R19, ",,C17168
33,"R12, R13, ",,C25105
10k,"R14, R20, ",,C25744
0.1,"R15, R16, ",,C25334
100k,"R24, ",,C25741
STM32F030C8T6,"U2, ",,C23922
CP2102-GMR,"U3, ",,C6568
1k,"R17, R23, R26, ",,C11702
