"Source:","C:\Users\AaronN\Desktop\Personal\PersonalProjects\TrackpadLights\CapTouch\capTouch\capTouch.kicad_sch"
"Date:","5/24/2022 9:38:04 PM"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/AaronsFavoriteBOMScript.py"
"Component Count:","78"
"Ref","Qnty","Value","Cmp name","Description","Manufacturer","Part Number","JLCPCB","JLC Number"
"C1, C3, C6, ","3","2.2uF","2.2uF","CAP CER 2.2UF 10V X5R 0603","Samsung Electro-Mechanics","1276-1085-1-ND","Yes","C23630"
"C2, C4, C5, ","3","0.1uF","0.1uF","CAP CER 0.1UF 25V X5R 0402","Samsung Electro-Mechanics","1276-1043-1-ND","Yes","C307331"
"CN1, ","1","B8B-PH-K-S(LF)(SN)","B8B-PH-K-S(LF)(SN)","JST PH CONN HEADER VERT 8POS 2MM","JST Sales America Inc.","455-1710-ND","",""
"H1, H2, H3, H4, ","4","MountingHole","MountingHole","Mounting Hole without connection","","","",""
"LED1, ","1","NCD0805R1","NCD0805R1","JLCPCB LED RED DIFFUSED 0805 SMD","Personal","Personal","",""
"Q1, ","1","BSS138BKW,115","BSS138BKW,115","MOSFET N-CH 60V 320MA SOT323","Personal","Personal","",""
"R1, R2, ","2","4.7k","4.7k","RES 4.7K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT4K70CT-ND","Yes","C25900"
"R5, ","1","1k","1k","RES 1K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT1K00CT-ND","",""
"R6, ","1","100","100","RES 100 OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT100RCT-ND","Yes","C25076"
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP50, ","20","TestPoint","TestPoint","test point","","","",""
"TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP51, TP52, TP53, TP54, TP55, TP56, TP57, TP58, TP59, TP60, ","40","TestPoint","TestPoint","test point","","","",""
"U1, ","1","IQS525-BL-QNR","IQS525-BL-QNR","25CH. TRACKPAD/TOUCH SCREEN CONT","Azoteq (Pty) Ltd","1790-1045-1-ND","",""
